YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,NEST FATE,Notes,,
2011,East of East T,CR,2,1,,,,,,,,,,
2000,East Palm,LC,NA,1,9+,,0,,,,,,,
2003,East Panel,LC,6,1,27,17,0,10,8,5,PSUC,,,
2004,East Panel,LC,10,1,NA,NA,NA,NA,NA,4,,,,
2004,East Refuge Field,CR,2,1,3,0,0,0,0,,ABD,,,
2004,East Refuge Field,CR,2,2,NA,NA,NA,NA,3,3,SUCC,,,
2012,East Refuge Field,CR,8,1,12,0,3,12,6,1,SUCC,,,
2013,East Refuge Field,CR,6,,11-Jan,03-Feb,,,3,2,SUCC,,,
2014,East Refuge Field,CR,3,1,1,,,,,,ABD,,,
2014,East Refuge Field,CR,3,2,3,,1,0,0,,ABD,,,
2014,East Refuge Field,CR,3,3,9,,,8,5,0,ABD,,,
2015,East Refuge Field,CR,6,,,,,,,,,,,
2021,East Refuge Field,CR,9,1,21,,,9,9,6,SUCC,,,
2007,East Road,LC,,,13,NA,NA,NA,,,DP,,,
2006,East T,CR,7,1,12,4,0,8,7,,DP PSUC,,,
2011,East T,CR,7,1,35,20,0,15,,,NNA,,,
2012,East T,CR,5,1,18,3,7,8,0,,DP,,,
2013,East T,CR,4,,17,,,,8,,,,,
2015,East T,CR,6,1,2,,,,,,,,,
2012,East Watertower,CR,7,,,,,,,,,,,
2005,Entrance,CR,,1,12,1,1,10,UNK,,INS,,,
2006,Entrance,CR,,1,15,0,1,14,13,,,,,
2007,Entrance,CR,2,,3,0,3,0,,,ABD,,,
2011,Entrance,CR,6,,,,,,,,,,,
2012,Entrance,CR,3,1,10,0,1,9,6,3,SUCC,,,
2013,Entrance,CR,5,1,15-16,03-Feb,,8,4,3,SUCC,,,
2014,Entrance,CR,4,1,15,,1,11,10,0,DP,,,
2021,Entrance,CR,11,1,6,0,6,0,,,ABD,,,
2021,Entrance,CR,11,2,19,0,12,7,,,NNA,,,
2002,Entrance Road,LC,7,1,3,3,0,0,,,ABD,,,
2011,Farm East of East T,CR,4,,,,,,,,,,,
2021,Farm Entrance,CR,10,1,16,2,,12,11,8,SUCC,,,
2011,Farm Pond,CR,1,,,,,,,,,,,
2002,Field,LC,6,1,NA,0,3,0,,,,,,
2003,Field,LC,9,1,NA,NA,NA,NA,NA,0,ABD?,,,
2003,Field,LC,9,2,14,2,0,12,0,,,,,
2003,Fincanewfie,CR,2,1,7,0,0,7,5,0,,,,
2004,Fincanewfie,CR,4,1,7,1,0,6,5,0,DP,,,
2011,Fincanewfie,CR,14,,,,,,,,,,,
2012,Fincanewfie,CR,13,1,52,30,13,9,7,6,SUCC,,,
2013,Fincanewfie,CR,9,,,,,,,4,SUCC,,,
2014,Fincanewfie,CR,11,1,12,3,,6,0,,ABD,,,
2014,Fincanewfie,CR,9,2,18,,,9,0,,ABD,,,
2015,Fincanewfie,CR,5,,,,,,,,,,,
2004,Garbage,CR,7,1,16,7,0,9,7,7,SUCC,,,
2007,Garbage,CR,15,,,,,,,,,,,
2013,Garbage,CR,12,,,,,,,,,,,
2003,Garden,LC,3,1,6,0,0,6,6,3,PSUC,,,
1999,Gully,CR,NA,1,13,5,0,8,7,7,,,,
2000,Gully,CR,8,1,15,3,0,12,12,8,,,,
2001,Gully,CR,5,1,9,1,0,8,7,4,,,,
2003,Gully,CR,3,1,NA,NA,NA,NA,3,1,PSUC,,,
2004,Gully,CR,5,1,7,1,0,6,6,2,PSUC,,,
2005,Gully,CR,,1,9,,,1,0,,ABD,,,
2006,Gully,CR,11,1,6,0,0,6,6,,DP PSUC,,,
2012,Gully,CR,8,,,,,,,,,,,
2013,Gully,CR,6,,,,,,,,,,,
2014,Gully,CR,4,1,14,0,1,9,0,,DP,,,
2015,Gully,CR,4,,,,,,,,,,,
2006,Hangar,CR,12,1,,7,,,,,ABD?,,,
2011,Headquarters,CR,4,,,,,,,,,,,
2012,Headquarters,CR,5,,,,,,,,,,,
2014,Headquarters,CR,6,1,2,,,0,,,ABD,,,
2015,Headquarters,CR,6,,,,,,,,,,,
2013,Headquarters West,CR,5,1,5,,,5,3,0,DP,,,
2003,Hill Top,CR,2,1,5,0,0,5,1,1,SUCC,,,
1999,Home,CR,5,1,22,4,8,10,0,,ABD,,,
2000,Home,CR,7,1,29,20,3,6,3,3,,,,
2002,Home,CR,6,1,19,3,5,11,4,0,DP,,,
2003,Home,CR,3,1,9,0,2,7,0,,DP,,,
2003,Home,CR,3,2,14,1,1,12,11,5,PSUC,,,
2003,Home,CR,3,3,7,0,1,5,NA,0,,,,
2004,Home,CR,3,1,7,0,0,7,3,3,SUCC,,,
2006,Home,CR,,,,,,,,,ABD,,,
2011,Home,CR,5,,,,,,,,,,,
2012,Home,CR,4,1,7,0,0,7,3,2,SUCC,,,
2013,Home,CR,2,,,,,,,1,SUCC,,,
2015,Home,CR,7,,,,,,,,,,,
2021,Home,CR,8,1,14,,14,0,,,ABD,,,
1998,Home 2,CR,2,1,5,0,0,5,0,,,,,
1998,Home 2 (Creek),CR,2,1,7,0,0,7,7,5,,,,
2000,Hurricane Flats,CR,2,1,4,0,0,4,4,1?,,,,
2011,Hurricane Flats,CR,4,,,,,,,,,,,
2012,Hurricane Flats,CR,6,,,,,,,,,,,
2000,Intersection,LC,2,1,2+,NA,NA,2+,NA,NA,INS,,,
2002,Intersection,LC,3,1,2,1,1,0,,,ABD,,,
1998,Joe's Group,CR,NA,1,11,0,0,11,11,10,,,,
2003,Kilometer 4.0,CR,6,NA,NA,NA,NA,NA,NA,4,,,,
1998,LC Corner,LC,3,1,7,0,0,7,6,0,DP,,,
1998,LC Entrance,LC,8,1,12,3,0,9,7,6,,,,
2011,LCS Mesquite Bay,LC,9,,,,,,,,,,,
2011,LCS South Fence Stream,LC,2,,,,,,,,,,,
2007,Lone Tree,LC, ,,5,0,NA,5,3,,,,,
2000,Main Gate,LC,8,1,35,26,0,9,2,0,DP,,,
2002,Main Gate,LC,13,1,6,0,0,6,0,,ABD,,,
2002,Main Gate,LC,13,2,29,22,1,6,4,0,DP,,,
2003,Main Gate,LC,9,1,40,22,6,12,0,,DEST,,,
2004,Main Gate,LC,7,1,16,NA,NA,NA,0,,DEST,,,
2004,Main Gate,LC,7,2,NA,NA,0,5,3,2,PSUC,,,
2005,Mango,CR,,1,10,0,1,9,UNK,,INS,,,
2006,Mango,CR,,1,NA,NA,NA,NA,5,5,SUCC,,,
2007,Mango,CR,18,,25,7,NA,NA,10,NA,,,,
2011,Mango,CR,5,1,33,11,1,10,10,UNK,NNA,,,
2012,Mango,CR,8,2,6,3,3,0,,,DP,,,
2012,Mango,CR,8,1,7,0,0,6,3,3,SUCC,,,
2013,Mango,CR,8,,,,,,,,,,,
2014,Mango,CR,5,1,22,6,,15,4,0,DP,,,
2014,Mango,CR,5,2,25,16,,8,7,UNK,,,,
2015,Mango,CR,10,,,,,,,,,,,
2021,Mango,CR,10,1,15,10,0,5,0,,DP,,,
