YEAR,LOCATION,SITE,ADULTS,NEST_ATTMPT,TOT_EGGS,EGGS_BURIED,EGGS_EJECTED,EGGS_UNBURIED,HATCHED,FLEDGED,NEST FATE,Notes,,
2015,Weatherstation,CR,7,,,,,,,,,,,
2021,Weatherstation,CR,7,1,30,10,20,0,,,ABD,,,
2021,West 4 Way,CR,4,1,14,,4,9,6,4,SUCC,,,
1999,West Airstrip Road,CR,3,1,NA,NA,NA,NA,NA,NA,,,,
2013,West Airstrip Road,CR,9,1,10,,,,7,4,SUCC,,,
2021,West Airstrip Road,CR,4,1,5,0,0,5,5,0,DP,,,
2000,West Farmer's Pond,CR,3,1,13,5,0,8,2,0,DP,,,
2015,West Fence,CR,,,,,,,,,,,,
2012,West Gully,CR,5,,,,,,,,,,,
2014,West Gully,CR,4,1,16,1+,,10,6,4,SUCC,,,
2011,West Monkey Tower,LC,9,,,,,,,,,,,
2000,West Palm,LC,NA,1,8+,2,1,5,0,,DP,,,
2001,West Palm,LC,6,1,3,0,2,0,0,,ABD,,,
1999,West Pond,CR,3,1,6,0,1,6,5,3,,,,
2007,West Pond,CR,5,,14,5,NA,9,7,,,,,
2012,West Pond,CR,8,,,,,,,,,,,
2015,West Pond,CR,,,,,,,,,,,,
2014,West Tamarind,CR,7,1,18,,5+,9,6,4,SUCC,,,
2011,West Weatherstation,CR,6,1,16,4,3,9,8,0,DP,,,
2012,West Weatherstation,CR,4,1,11,2,0,9,8,0,DP,,,
2013,West Weatherstation,CR,5,1,8,,,8,8,4,SUCC,,,
2014,West Weatherstation,CR,2,1,5,,,5,5,5,SUCC,,,
