Territory,Date,Chick,Mass,Culmen,Tarsus,Notes
South Mango Arroyo,2013-11-20,6,28,12.95,18.1,
South Mango Arroyo,2013-11-20,7,27,12,17.1,
South Mango Arroyo,2013-11-20,8,17,10.6,13.5,
South Mango Arroyo,2013-11-20,9,14.5,10.3,13.4,
Vulture Pond,2021-12-09,3,19,9.2,12.1,
Vulture Pond,2021-12-09,1,22,11,14.3,
Vulture Pond,2021-12-09,4,16.5,8.2,10.4,
Vulture Pond,2021-12-09,5,17,10.6,12.8,
Vulture Pond,2021-12-09,2,21.5,10.9,13,
Vulture Pond,2021-12-10,6,12,8.4,10.1,
Vulture Pond,2021-12-10,1,21,11.8,16.4,"T1,7 present; camera up"
Vulture Pond,2021-12-10,2,24,9.5,16.4,
Vulture Pond,2021-12-10,3,20,11.5,15.1,
Vulture Pond,2021-12-10,4,21,9.3,13.4,
Vulture Pond,2021-12-10,5,21,9.2,13.6,
Vulture Pond,2021-12-11,1,30,12.1,16.7,"T1,7 present"
Vulture Pond,2021-12-11,2,32.5,13,17,
Vulture Pond,2021-12-11,3,30,11.8,16.4,
Vulture Pond,2021-12-11,4,26,11.5,13.9,
Vulture Pond,2021-12-11,5,25,11.8,15.6,
Vulture Pond,2021-12-11,6,16,8.4,10.5,
Vulture Pond,2021-12-13,1,39.5,15.8,21.4,T1 present
Vulture Pond,2021-12-13,2,37.5,15.7,21.2,
Vulture Pond,2021-12-13,3,40.5,15.3,21.3,
Vulture Pond,2021-12-13,4,39,13.1,19.4,
Vulture Pond,2021-12-13,5,37,13.6,19.6,
Vulture Pond,2021-12-13,7,12.5,8.3,10.9,
Vulture Pond,2021-12-13,6,28,11.2,16.2,
West Airstrip Road,2013-10-27,1,17,10,11.8,
West Airstrip Road,2013-10-27,2,16.5,9.8,12.2,
West Airstrip Road,2013-10-27,3,11,10,8.9,
West Airstrip Road,2013-10-27,4,10,8.7,8.4,
West Airstrip Road,2013-10-29,1,34,11.2,17.6,
West Airstrip Road,2013-10-29,2,28,11.5,17,
West Airstrip Road,2013-10-29,3,18.5,10,16.1,
West Airstrip Road,2013-10-29,4,16.5,10.3,12.1,
West Airstrip Road,2013-10-29,5,12.5,9.2,10.5,
West Airstrip Road,2013-10-29,6,11.5,9,10.2,
West Airstrip Road,2013-10-31,1,40,14.4,21.2,set up provisioning video
West Airstrip Road,2013-10-31,2,38,13.8,21,
West Airstrip Road,2013-10-31,3,30,14,18.6,
West Airstrip Road,2013-10-31,4,30,13.4,16.1,
West Airstrip Road,2013-10-31,5,17.5,10.7,13.9,
West Airstrip Road,2013-10-31,6,18.5,11.4,14.1,
West Airstrip Road,2013-10-31,7,10,8.7,10.3,
West Airstrip Road,2013-11-01,4,38,13.3,18.4,set up provisioning video; R/A out of nest; all other chicks present
West Airstrip Road,2013-11-03,5,42,13.9,20.3,
West Airstrip Road,2013-11-03,6,24,13.5,17.3,
West Weatherstation,2013-11-01,1,33,11.6,16.4,"plus 3 eggs (I6,7,8)"
West Weatherstation,2013-11-01,2,31,12,15.8,
West Weatherstation,2013-11-01,3,26,11.2,13.8,
West Weatherstation,2013-11-01,4,19,10,12.1,
West Weatherstation,2013-11-01,5,17,8.4,9.4,hatched today
West Weatherstation,2013-11-03,1,40,14.2,20.8,camera battery deat
West Weatherstation,2013-11-03,2,40,13.5,20.5,egg I8 present
West Weatherstation,2013-11-03,3,32,13.2,18.3,
West Weatherstation,2013-11-03,4,31,12.4,16.4,
West Weatherstation,2013-11-03,5,19.5,10.1,12.2,
West Weatherstation,2013-11-03,6,11.5,8.6,11,
West Weatherstation,2013-11-03,7,8.5,8.4,9.3,
West Weatherstation,2013-11-06,1,48,17.3,24.3,messing with network camera
West Weatherstation,2013-11-07,4,42,15.5,21.4,
West Weatherstation,2013-11-08,5,33,12.7,17.1,
West Weatherstation,2013-11-08,8,11.5,9.3,11.7,Emaciated.
West Weatherstation,2013-11-08,5,48.5,14.5,20.5,
West Weatherstation,2013-11-09,8,9.5,8.8,9.1,From egg I8
